id,imieNazwisko,klub,dataUr,miejsceUr,zawod,ukonczonaSzkola,wyksztalcenie,najwyzszyStopienNaukowy,liczbaStudiowPodyplomowych,nrOkreguWyborczego,okregWyborczy,wojewodztwo,liczbaGlosow,stazParlamentarny,czyAktywny,powodNieaktywnosci,nieaktywnoscKomentarz
317,Paweł Rychlik,PiS,1986-12-16,Wieluń,farmaceuta,"Uniwersytet Medyczny w Poznaniu, Wydział Farmaceutyczny, Farmacja - magister (2013)",wyższe,magister,0,11,Sieradz,łódzkie,27361,poseł na Sejm RP VIII i IX kadencji,True,,
318,Marek Rząsa,KO,1957-10-04,Rzeszów,nauczyciel,"Akademia Wychowania Fizycznego w Krakowie, Wydział Wychowania Fizycznego, Nauczycielski - magister (1984) Wyższa Szkoła Informatyki i Zarządzania w Rzeszowie, Organizacja i Zarządzanie Oświatą (2002) - studia podyplomowe",wyższe,magister,1,22,Krosno,podkarpackie,13510,"poseł na Sejm RP VI, VII, VIII i IX kadencji",True,,
319,Jarosław Rzepa,PSL,1972-08-22,Szamotuły,inżynier ogrodnik,"Akademia Rolnicza w Szczecinie, Wydział Rolnictwa, Ogrodnictwo - magister inżynier (1997) Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Biologii, Nauczanie biologii - licencjat (1997) Akademia Rolnicza w Krakowie, Hodowla Roślin i Nasiennictwo (2002) - studia podyplomowe Akademia Rolnicza w Szczecinie, Ogrodnictwo - doktor (2007)",wyższe,doktor,1,41,Szczecin,zachodniopomorskie,21309,poseł na Sejm RP IX kadencji,True,,
320,Jarosław Sachajko,Republikanie,1971-10-08,Lublin,przedsiębiorca prywatny,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie, Wydział Ekonomiczno-Rolniczy, Ekonomia - magister (1998) Uniwersytet Przyrodniczy w Lublinie, Agrobioinżynieria - doktor (2010) Warszawska Szkoła Zarządzania-Szkoła Wyższa, Wycena Nieruchomości (2013) - studia podyplomowe",wyższe,doktor,1,7,Chełm,lubelskie,33727,poseł na Sejm RP VIII i IX kadencji,True,,
321,Paweł Sałek,PiS,1975-06-29,Skierniewice,"inżynier mechanik, urzędnik państwowy","Politechnika Częstochowska, Wydział Inżynierii Mechanicznej i Informatyki, Mechanika i Budowa Maszyn - magister inżynier (2000) Szkoła Główna Gospodarstwa Wiejskiego w Warszawie, Oceny i wyceny zasobów przyrodniczych (2001) - studia podyplomowe MBA UW, Master of Business Administration (2009) - studia podyplomowe Wyższa Szkoła Kultury Społecznej i Medialnej w Toruniu, Relacje Międzynarodowe i Dyplomacja (2014) - studia podyplomowe",wyższe,magister inżynier,3,10,Piotrków Trybunalski,łódzkie,15200,brak,True,,
322,Wojciech Saługa,KO,1969-03-27,Jaworzno,ekonomista,"Uniwersytet Ekonomiczny w Krakowie, Wydział Ekonomia Produkcji, Ekonomika i Organizacja Produkcji Przemysłowej - magister (1994)",wyższe,magister,0,32,Katowice,śląskie,28781,"poseł na Sejm RP V, VI, VII i IX kadencji, senator V kadencji",False,Zrzeczenie,Wybrany na funkcję Marszałka Województwa Śląskiego
323,Tadeusz Samborski,PSL,1945-08-08,Gańczary K. Lwowa,historyk,"Wyższa Szkoła Pedagogiczna w Gdańsku, Wydział Humanistyczny, Historia - magister (1969) Państwowy Uniwersytet im. M. Łomonosowa w Moskwie, Nauki Humanistyczne - doktor (1974)",wyższe,doktor,0,1,Legnica,dolnośląskie,16120,poseł na Sejm RP II i IV kadencji,True,,
324,Jacek Sasin,PiS,1969-11-06,Warszawa,urzędnik państwowy,"Uniwersytet Warszawski, Wydział Historyczny, Historia - magister (1998) Akademia Leona Koźmińskiego, Zarządzanie w Administracji Publicznej (2005) - studia podyplomowe",wyższe,magister,1,24,Białystok,podlaskie,59490,"poseł na Sejm RP VII, VIII i IX kadencji",True,,
325,Marek Sawicki,PSL,1958-04-08,Sawice,rolnik,"Wyższa Szkoła Rolniczo-Pedagogiczna, Wydział Rolniczy, Rolnictwo - magister inżynier (1983) Polska Akademia Nauk w Warszawie, Wspólnotowe Prawo Rolne (1997) - studia podyplomowe Akademia Podlaska w Siedlcach, Agronomia - doktor (2006) Uniwersytet Przyrodniczo - Humanistyczny w Siedlcach, Nauki Rolnicze (2006) - studia doktoranckie",wyższe,doktor,1,18,Siedlce,mazowieckie,25534,"poseł na Sejm RP II, III, IV, V, VI, VII, VIII i IX kadencji",True,,
326,Ewa Schädler,Polska2050,1968-09-13,Poznań,przedsiębiorca prywatny,"Katolicki Uniwersytet Lubelski w Lublinie, Wydział Teologiczny, Teologia - magister (1992) Katolicki Uniwersytet Lubelski Jana Pawła II, Teologia - doktor (2014) Wielkopolska Wyższa Szkoła Społeczno-Ekonomiczna w Środzie Wielkopolskiej, Nauki o Wychowaniu - Pedagogika (2018) - studia podyplomowe",wyższe,doktor,1,39,Poznań,wielkopolskie,33815,brak,True,,
327,Joanna Scheuring-Wielgus,Lewica,1972-02-08,Toruń,socjolog,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Humanistyczny, Socjologia - magister (1997) Polska Akademia Nauk w Warszawie, Zarządzanie Kulturą (2008) - studia podyplomowe",wyższe,magister,1,5,Toruń,kujawsko-pomorskie,35193,poseł na Sejm RP VIII i IX kadencji,False,Zrzeczenie,Wybrana na posła do Parlamentu Europejskiego
328,Anna Schmidt,PiS,1978-11-11,Jarosław,socjolog,"Katolicki Uniwersytet Lubelski, Wydział Nauk Społecznych, Socjologia - magister (2003)",wyższe,magister,0,22,Krosno,podkarpackie,28692,poseł na Sejm RP VIII i IX kadencji,True,,
329,Łukasz Schreiber,PiS,1987-05-26,Bydgoszcz,urzędnik państwowy,"Wydział Administracji i Nauk Społecznych, Administracja - magister (2013)",wyższe,magister,0,4,Bydgoszcz,kujawsko-pomorskie,44413,poseł na Sejm RP VIII i IX kadencji,True,,
330,Jarosław Sellin,PiS,1963-05-01,Gdynia,nauczyciel akademicki,"Uniwersytet Gdański, Wydział Humanistyczno-Filologiczny, Historia - magister (1988) Uniwersytet Kardynała Stefana Wyszyńskiego, Historia - doktor (2021)",wyższe,doktor,0,25,Gdańsk,pomorskie,7284,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",True,,
331,Olga Ewa Semeniuk-Patkowska,PiS,1988-12-05,Warszawa,wyższy urzędnik państwowy,"Politechnika Warszawska, Wydział Administracji i Nauk Społecznych, Nauki Społeczne - magister (2019)",wyższe,magister,0,35,Olsztyn,warmińsko-mazurskie,14183,brak,True,,
332,Edward Siarka,PiS,1963-07-07,Rabka,nauczyciel,"Uniwersytet Jagielloński w Krakowie, Wydział Filozoficzno-Historyczny, Historia - magister (1988) Wyższa Szkoła Filozoficzno-Pedagogiczna IGNATIANUM, Doradztwo Europejskie (2004) - studia podyplomowe",wyższe,magister,1,14,Nowy Sącz,małopolskie,18587,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",True,,
333,Krystyna Sibińska,KO,1962-06-12,Złocieniec,inżynier budownictwa,"Politechnika Szczecińska, Wydział Budownictwa i Architektury, Technologia i Organizacja Budowy - magister inżynier (1987) Uniwersytet Szczeciński, Wydział Zarządzania i Ekonomiki Usług, Zarządzanie Funduszami Europejskimi (2004) - studia podyplomowe Uniwersytet Szczeciński, Wydział Prawa i Administracji, Prawo Administracyjne i Samorządowe (2007) - studia podyplomowe",wyższe,magister inżynier,2,8,Zielona Góra,lubuskie,19415,"poseł na Sejm RP VII, VIII i IX kadencji",True,,
334,Czesław Siekierski,PSL,1952-10-08,Stopnica,nauczyciel akademicki,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie, Wydział Rolniczy, Ekonomika Rolnictwa - magister inżynier (1976) Szkoła Główna Gospodarstwa Wiejskiego w Warszawie, Ekonomika Rolnictwa - doktor (1986)",wyższe,doktor,0,33,Kielce,świętokrzyskie,21916,"poseł na Sejm RP III, IV i IX kadencji",True,,
335,Rafał Siemaszko,KO,1986-09-11,Wejherowo,,"Zespół Szkół Budownictwa Okrętowego, Technikum Budowy Okrętów, Technik Budownictwa Okrętowego - technik (2006)",średnie zawodowe,,0,26,Słupsk,pomorskie,15494,brak,True,,
336,Tomasz Siemoniak,KO,1967-07-02,Wałbrzych,ekonomista,"Szkoła Główna Handlowa w Warszawie, Handel Zagraniczny, Ekonomika i Organizacja Handlu Zagranicznego - magister (1992)",wyższe,magister,0,21,Opole,opolskie,46223,poseł na Sejm RP VIII i IX kadencji,True,,
337,Bartłomiej Sienkiewicz,KO,1961-07-29,Kielce,"archiwista, historyk","Uniwersytet Jagielloński w Krakowie, Wydział Filozoficzno-Historyczny, Historia Archiwistyka - magister (1987)",wyższe,magister,0,13,Kraków,małopolskie,95873,poseł na Sejm RP IX kadencji,False,Zrzeczenie,Wybrany na posła do Parlamentu Europejskiego
338,Arkadiusz Sikora,Lewica,1973-06-20,Głubczyce,ekonomista,"Uniwersytet Ekonomiczny we Wrocławiu, Wydział Gospodarki Narodowej, Finanse i Bankowość - magister (1997)",wyższe,magister,0,1,Legnica,dolnośląskie,12048,brak,True,,
339,Włodzimierz Skalik,Konfederacja_KP,1959-06-10,Radomsko,,"Policealne Studium Zawodowe TZN w Częstochowie, Obróbka Skrawaniem - technik (1980)",średnie policealne/pomaturalne,,0,21,Opole,opolskie,15190,brak,True,,
340,Marcin Skonieczka,Polska2050,1978-11-09,Chełmno,"ekonomista, urzędnik samorządowy","Uniwersytet Ekonomiczny w Poznaniu, Wydział Zarządzania, Handel i Marketing - magister (2002) Uniwersytet Mikołaja Kopernika w Toruniu, Wiedzy o Unii Europejskiej i Wykorzystaniu Funduszy Europejskich (2008) - studia podyplomowe",wyższe,magister,1,5,Toruń,kujawsko-pomorskie,11864,brak,True,,
341,Krystyna Skowrońska,KO,1954-07-22,Mielec,bankowiec,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Prawa i Administracji, Prawo Administracyjne - magister (1978)",wyższe,magister,0,23,Rzeszów,podkarpackie,14901,"poseł na Sejm RP IV, V, VI, VII, VIII i IX kadencji",True,,
342,Sławomir Skwarek,PiS,1963-11-25,Radzyń Podlaski,nauczyciel,"Uniwersytet Warszawski, Wydział Historii, Historia - magister (1998) Katolicki Uniwersytet Lubelski, Zarządzanie Procesem Rozwoju Oświaty (2001) - studia podyplomowe",wyższe,magister,1,6,Lublin,lubelskie,12427,poseł na Sejm RP VIII i IX kadencji,True,,
343,Waldemar Sługocki,KO,1971-09-09,Sulechów,"nauczyciel akademicki, urzędnik","Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Społecznych, Nauki Polityczne i Dziennikarstwo - magister (1997) Uniwersytet im. Adama Mickiewicza w Poznaniu, Nauki Humanistyczne, Nauki o Polityce (2002) - studia doktoranckie Szkoła Główna Handlowa w Warszawie, Badania i Analizy Strategiczne (2011) - studia podyplomowe Uniwersytet im. Adama Mickiewicza w Poznaniu, Nauki Społeczne, Nauki o Polityce - doktor habilitowany (2014) Collegium Humanum - Szkoła Główna Menedżerska w Warszawie, Apsley Business School of London, Executive Master of Business Administration (2020) - studia podyplomowe",wyższe,doktor habilitowany,2,8,Zielona Góra,lubuskie,25037,"poseł na Sejm RP VII i IX kadencji, senator IX kadencji",True,,
344,Weronika Smarduch,KO,1990-04-08,Rabka-Zdrój,ekspert ds. kontrolingu,"Uniwersytet Ekonomiczny w Krakowie, Wydział Zarządzania, Zarządzanie - magister (2014)",wyższe,magister,0,14,Nowy Sącz,małopolskie,27031,brak,True,,
345,Kazimierz Smoliński,PiS,1955-07-15,Malbork,adwokat,"Uniwersytet Gdański, Wydział Prawa i Administracji, Prawo - magister (1978) Uniwersytet im. Adama Mickiewicza w Poznaniu, Dla Radców Prawnych (1984) - studia podyplomowe Uniwersytet Gdański, Zarządzanie Przedsiębiorstwem (2001) - studia podyplomowe",wyższe,magister,2,25,Gdańsk,pomorskie,16177,"poseł na Sejm RP VI, VII, VIII i IX kadencji",True,,
346,Anna Sobolak,KO,1979-11-02,Lublin,,"Politechnika Rzeszowska, Wydział Budowy Maszyn i Lotnictwa, Komputerowe Wspomaganie Procesów Technicznych - inżynier (2007)",wyższe,inżynier,0,3,Wrocław,dolnośląskie,7675,brak,True,,
347,Krzysztof Sobolewski,PiS,1978-09-20,Radymno,administratywista,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Prawa, Prawo Administracyjne - magister (2002)",wyższe,magister,0,23,Rzeszów,podkarpackie,18390,poseł na Sejm RP IX kadencji,True,,
348,Artur Soboń,PiS,1977-03-13,Świdnik,pracownik samorządowy,"Katolicki Uniwersytet Lubelski, Wydział Humanistyczny, Historia - magister (2001) Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Zarządzanie Projektami Europejskimi i Prawo Unii Europejskiej (2004) - studia podyplomowe Katolicki Uniwersytet Lubelski, Rachunkowość i Finanse (2007) - studia podyplomowe Szkoła Główna Handlowa w Warszawie, Kolegium Nauk o Przedsiębiorstwie, Zarządzanie - magister (2011) Szkoła Główna Handlowa w Warszawie, Ekonomia (2011) - studia doktoranckie",wyższe,magister,2,6,Lublin,lubelskie,32357,poseł na Sejm RP VIII i IX kadencji,False,Zrzeczenie,Powołany na członka Zarządu Narodowego Banku Polskiego
349,Agnieszka Anna Soin,PiS,1977-02-09,Szczytno,parlamentarzysta,"Uniwersytet Warmińsko-Mazurski w Olsztynie, Wydział Zarządzania i Administracji, Administracja - magister (2001) Politechnika Warszawska, Bezpieczeństwo i Higiena Pracy (2005) - studia podyplomowe Wyższa Szkoła Przedsiębiorczości i Zarządzania L. Koźmińskiego (Warszawa), Prawo Pracy (2007) - studia podyplomowe Szkoła Główna Handlowa w Warszawie, Doradztwo Zawodowe i Zarządzanie Kompetencjami (2008) - studia podyplomowe Szkoła Główna Handlowa w Warszawie, Public Relations i Komunikacji Strategicznej (2008) - studia podyplomowe Wyższa Szkoła Menedżerska akredytacja Aspley Business School of London, MBA (2019) - studia podyplomowe",wyższe,magister,5,3,Wrocław,dolnośląskie,18645,poseł na Sejm RP VIII i IX kadencji,True,,
350,Zbigniew Sosnowski,PSL,1963-12-10,Rypin,nauczyciel,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Nauk Historycznych, Historia - magister (2000)",wyższe,magister,0,5,Toruń,kujawsko-pomorskie,27070,"poseł na Sejm RP IV, V, VII i VIII kadencji",True,,
351,Marek Sowa,KO,1967-02-04,Libiąż,wyższy urzędnik państwowy,"Akademia Górniczo-Hutnicza w Krakowie, Wydział Zarządzania, Zarządzanie - magister (2002)",wyższe,magister,0,12,Kraków,małopolskie,24652,poseł na Sejm RP VIII i IX kadencji,True,,
352,Katarzyna Sójka,PiS,1986-02-05,Ostrów Wielkopolski,lekarz - specjalista chorób wewnętrznych,"Wydział Lekarski, Lekarski - lekarz (2011) Uniwersytet Przyrodniczy w Poznaniu, Wydział Leśny - Gospodarka Leśna, Inżynier Leśnictwa - inżynier (2013)",wyższe,lekarz,0,36,Kalisz,wielkopolskie,18138,poseł na Sejm RP IX kadencji,True,,
353,Magdalena Sroka,PSL,1979-07-15,Gdańsk,menedżer,"Akademia Wychowania Fizycznego w Gdańsku, Wydział Wychowania Fizycznego, Nauczyciel Wychowania Fizycznego - magister (2003) Uniwersytet Gdański, Wydział Zarządzania, Zarządzanie Zasobami Ludzkimi (2006) - studia podyplomowe Wyższa Szkoła Policji w Szczytnie, Studia Oficerskie (2009) - studia podyplomowe Wyższa Szkoła Handlu i Usług w Poznaniu, Wydział Społeczno-Ekonomiczny, Menedżer (2019)",wyższe,magister,2,25,Gdańsk,pomorskie,18348,poseł na Sejm RP IX kadencji,True,,
354,Mirosława Stachowiak-Różecka,PiS,1973-07-08,Świebodzin,pedagog specjalny,"Dolnośląska Szkoła Wyższa, Wydział Nauk Pedagogicznych, Pedagogika Specjalna - magister (2017)",wyższe,magister,0,3,Wrocław,dolnośląskie,97193,poseł na Sejm RP VIII i IX kadencji,True,,
355,Dariusz Stefaniuk,PiS,1981-05-10,Biała Podlaska,politolog,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie, Wydział Nauk Historycznych i Społecznych, Politologia - magister (2006) Szkoła Główna Handlowa w Warszawie, Podyplomowe Studia Menadżerskie (2009) - studia podyplomowe Szkoła Główna Handlowa w Warszawie, Menadżer Samorządu Terytorialnego (2017) - studia podyplomowe",wyższe,magister,2,7,Chełm,lubelskie,29710,poseł na Sejm RP IX kadencji,True,,
356,Franciszek Sterczewski,KO,1988-03-17,Poznań,architekt,"Uniwersytet Artystyczny w Poznaniu, Wydział Architektury i Wzornictwa, Architektura i Urbanistyka - inżynier architekt (2014)",wyższe,inżynier,0,39,Poznań,wielkopolskie,10108,poseł na Sejm RP IX kadencji,True,,
357,Piotr Paweł Strach,Polska2050,1982-01-10,Częstochowa,"menedżer, nauczyciel","Politechnika Częstochowska, Wydział Zarządzania, Marketing i Zarządzanie - magister (2009) Collegium Humanum Wrocław, Executive Master of Business Administration (EMBA) (2021) - studia podyplomowe",wyższe,magister,1,29,Katowice,śląskie,17634,brak,True,,
358,Mirosław Suchoń,Polska2050,1976-01-10,Bielsko-Biała,"ekonomista, informatyk","Wyższa Szkoła Bankowa w Poznaniu, Wydział Zamiejscowy w Chorzowie, Finanse i Bankowość - licencjat (2000)",wyższe,licencjat,0,27,Bielsko-Biała,śląskie,30897,poseł na Sejm RP VIII i IX kadencji,True,,
359,Marek Suski,PiS,1958-06-11,Grójec,specjalista ds. marketingu,"Pomaturalne Studium Zawodowe, Technik Teatralny (1980)",średnie policealne/pomaturalne,,0,17,Radom,mazowieckie,37853,"poseł na Sejm RP IV, V, VI, VII, VIII i IX kadencji",True,,
360,Paweł Suski,KO,1964-06-10,Wałcz,parlamentarzysta,"Akademia Rolnicza w Poznaniu, Wydział Ogrodniczy - magister inżynier (1989)",wyższe,magister inżynier,0,40,Koszalin,zachodniopomorskie,5934,"poseł na Sejm RP VI, VII i VIII kadencji",True,,
361,Artur Szałabawka,PiS,1967-10-03,Szczecin,pracownik administracji państwowej,"Uniwersytet Szczeciński, Wydział Humanistyczny, Politologia i Nauki Społeczne w Zakresie Socjologii - magister (2001)",wyższe,magister,0,41,Szczecin,zachodniopomorskie,15446,poseł na Sejm RP VIII i IX kadencji,True,,
362,Wojciech Szarama,PiS,1955-12-16,Bytom,adwokat,"Uniwersytet Śląski, Wydział Prawa, Prawo - magister (1983)",wyższe,magister,0,29,Katowice,śląskie,12185,"poseł na Sejm RP IV, V, VI, VII, VIII i IX kadencji",True,,
363,Wiesław Szczepański,Lewica,1960-06-01,Chrośnica,ekonomista,"Akademia Ekonomiczna w Poznaniu, Wydział Organizacji i Zarządzania, Organizacja i Zarządzanie - magister (1983)",wyższe,magister,0,36,Kalisz,wielkopolskie,13668,"poseł na Sejm RP II, III, V, VI i IX kadencji",True,,
364,Michał Szczerba,KO,1977-12-14,Warszawa,urzędnik państwowy,"Uniwersytet Warszawski, Instytut Stosowanych Nauk Społecznych, Socjologia (2001) Szkoła Główna Handlowa w Warszawie, Europejskie Studia Finansowania Inwestycji w Samorządzie Terytorialnym (2004) - studia podyplomowe",wyższe,magister,1,19,Warszawa,mazowieckie,28653,"poseł na Sejm RP VI, VII, VIII i IX kadencji",False,Zrzeczenie,Wybrany na posła do Parlamentu Europejskiego
365,Krzysztof Szczucki,PiS,1986-10-18,Elbląg,prawnik,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2010) Uniwersytet Warszawski, Nauki Prawne (2014) - studia doktoranckie Uniwersytet Warszawski, Nauki Humanistyczne - doktor habilitowany (2021)",wyższe,doktor habilitowany,0,5,Toruń,kujawsko-pomorskie,34014,brak,True,,
366,Józefa Szczurek-Żelazko,PiS,1961-03-14,Nowy Sącz,"menedżer, parlamentarzysta","Akademia Medyczna w Lublinie, Wydział Pielęgniarski - magister (1994) Politechnika Krakowska, Audyt Wewnętrzny Jednostek Sektora Finansów Publicznych (2004) - studia podyplomowe",wyższe,magister,1,15,Tarnów,małopolskie,26231,poseł na Sejm RP VIII i IX kadencji,True,,
367,Paweł Szefernaker,PiS,1987-02-27,Szczecin,prawnik,"Europejska Wyższa Szkoła Prawa i Administracji (Warszawa), Wydział Prawa, Prawo - magister (2011)",wyższe,magister,0,40,Koszalin,zachodniopomorskie,29764,poseł na Sejm RP VIII i IX kadencji,False,Zrzeczenie,Powołany na stanowisko Sekretarza Stanu - Szefa Gabinetu Prezydenta RP
368,Andrzej Szejna,Lewica,1973-04-28,Końskie,adwokat,"Szkoła Główna Handlowa w Warszawie, Finanse i Bankowość, Ekonomia - magister (1996) Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (1997)",wyższe,magister,0,33,Kielce,świętokrzyskie,17961,poseł na Sejm RP IX kadencji,True,,
369,Andrzej Szewiński,KO,1970-02-20,Warszawa,"parlamentarzysta, pedagog, przedsiębiorca prywatny, sportowiec, urzędnik samorządowy","Uniwersytet Humanistyczno-Przyrodniczy w Częstochowie, Wydział Pedagogiczny, Pedagogika z Wychowaniem Fizycznym - magister (1994) Akademia WSB w Dąbrowie Górniczej, Executive MBA (2018) - studia podyplomowe",wyższe,magister,1,28,Częstochowa,śląskie,10171,"poseł na Sejm RP IX kadencji, senator VII i VIII kadencji",True,,
370,Adam Szłapka,KO,1984-12-06,Kościan,politolog,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Politycznych i Dziennikarstwa, Politologia - magister (2008) Polski Instytut Spraw Międzynarodowych, Studium Polityki Zagranicznej (2012) - studia podyplomowe",wyższe,magister,1,39,Poznań,wielkopolskie,149064,poseł na Sejm RP VIII i IX kadencji,True,,
